Site,grupos,#dist,Cerianthus lloydi,Burrowing Anthozoa ind,Turbellaria ind,Nematoda ind,Aphrodita aculeata,Aphroditidae ind,Harmothoe castanea,Harmothoe sp,Stenhelais limicola,Pholoe inornata,Anaitides groenlandica,Eteone flava,Nereimyra punctata,Nephtys longosetosa,Nephtys caeca,Nephtys sp,Glycera alba,Goniada maculata,Glycinde nordmanni,Lumbrineris fragilis,Lumbrineris sp,Scoloplos armiger,Spiophanes bombyx,Spiophanes kroyeri,Pseudopolydora antennata,Minuspio cirrifera,Scolelepis tridentata,Apistobranchus tullbergi,Levinsenia gracilis,Aricidea simonae,Cirratulus cirratus,Chaetozone setosa,Caulleriella sp,Tharyx sp,Cirratulidae ind,Ophelina acuminata,Ophelia borealis,Nicomache lumbricalis,Maldane sarsi,Maldanidae ind,Myriochele sp,Owenia fusiformis,Lagis koreni,Amphictene auricoma,Ampharete baltica,Ampharete finmarchica,Ampharete lindstroemi,Ampharete sp,Amphitrite cirrata,Anobothrus gracilis,Amphicteis gunneri,Samytha sexcirrata,Trichobranchus roseus,Phascolion strombi,Nymphon gracile,Copepoda ind,Vaunthompsonia cristata,Eudorella trunculata,Eudorellopsis deformis,Campylaspis rubicunda,Hemilamprops rosea,Diastylis lucifera,Hippomedon denticulatus,Tmetonyx cicada,Anonyx lilljeborgi,Scopelocheirus hopei,Tryphosites longipes,Ampelisca macrocephala,Perioculodes longimanus,Argissa hamatipes,Byblis gaimardi,Synchelidium maculatum,Westwoodilla caecula,Bathyporeia gracilis,Photis reinhardi,Corophium affine,Corophium crassicorne,Euphausidacea ind,Euthemisto sp,Pagurus bernhardus,Chaetoderma nitidulum,Natica poliana,Lunatia montagui,Colus gracilis,Retusa umbilicata,Philine quadrata,Philine scabra,Coryphella verrucosa,Antalis entalis,Nuculoma tenuis,Musculus niger,Arctica islandica,Tridonta montagui,Thyasira flexuosa,Montacuta substriata,Mysella bidentata,Parvicardium sp,Acanthocardia echinata,Spisula elliptica,Chamelea gallina,Timoclea ovata,Mysia undata,Abra prismatica,Phaxas pellucidus,Mya truncata,Luidia sarsi,Phoronis sp,Astropecten irregularis,Asteroidea ind,Amphiura filiformis,Ophiura affinis,Ophiura sarsi,Ophiura sp,Spatangus purpureus,Echinocardium flavescens,Pleurogonidae ind,Gattyana cirrosa,Magelona filiformis,Anomiidae sp,Tellimya feruginosa,Harmothoe fragilis,Eteone longa,Amphitritides gracilis,Lysilla loveni,Laonome kroyeri,Jassa marmorata,Jassa sp,Ampelisca brevicornis,Nothria conchylega,Virgularia mirabilis,Ophelina modesta,Paramphinome jeffreysi,Nephtys hombergi,Thyasira gouldii,Nereis zonata,Hyas coarctatus,Aonides paucibranchiata,Graphis albida,Spio filicornis,Golfingia sp,Chaetoporia nilssoni,Onchnesoma squamatum,Odostomia sp,Dosinia lupinus,Harmothoe impar,Eunicidae ind,Lysippides fragilis,Lucinoma borealis,Amphilocus spencebatei,Chone duneri,Neoamphitrite grayi,Alcyonium digitatum,Eulalia viridis,Hirudinea ind,Diastylis laevis,Tryphosella nanoides,Campylaspis costata,Menigrates sp,Prosobranch sp,Bivalvia ind,Capitella capitata,Idotea pelagica,Doridae ind,Parvicardium scabrum,Ophryotrocha sp,Diplocirrus glaucus,Eulalia trilineata,Mytilus edulis,Polychaeta ind,Cylichna cylindracea,Molgula sp,Eudorella emarginata,Nuculana minuta
S32,c,2,1,0,0,0,0,1,0,0,5,29,0,0,0,10,1,0,6,28,0,0,6,5,3,1,0,11,1,0,0,0,0,40,1,0,0,0,1,0,0,0,6,0,0,5,7,1,0,0,0,1,0,0,3,1,0,7,0,2,8,0,3,0,0,5,0,0,1,0,2,0,0,2,1,1,0,1,0,0,1,0,4,0,5,0,0,5,1,1,0,3,0,0,1,1,0,0,0,1,0,1,0,0,13,1,0,0,0,1,2,7,19,0,3,0,8,1,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
S38,c,2,1,3,0,1,0,1,0,0,1,56,1,0,0,7,3,2,6,33,0,0,1,1,3,2,0,26,0,0,1,1,0,43,1,6,0,0,0,0,0,0,28,7,2,7,34,8,0,0,0,17,0,0,4,1,0,13,0,0,16,0,0,0,0,4,0,0,0,3,1,0,0,0,1,3,0,0,0,1,0,0,3,0,8,0,0,1,4,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,14,2,0,0,0,4,8,5,35,0,18,0,0,2,5,0,0,0,0,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
S28,a,2,1,4,0,0,0,0,0,0,2,25,0,0,0,11,3,1,2,41,0,0,3,5,0,0,0,10,1,0,1,1,2,7,0,1,0,2,1,0,0,0,17,3,1,12,4,0,0,0,0,7,0,0,3,0,0,9,0,0,9,0,0,0,0,3,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,1,0,0,31,0,0,0,2,0,19,9,20,0,12,3,4,0,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
S33,c,2,0,0,0,0,0,0,0,1,3,15,1,0,0,13,0,0,2,45,0,0,1,5,1,1,0,14,0,0,0,0,0,15,0,0,0,1,0,0,0,0,6,3,1,20,19,3,0,0,0,9,0,0,2,6,0,4,0,3,7,0,1,1,1,2,0,0,1,5,0,0,0,0,1,0,0,1,0,0,0,1,8,1,8,0,0,4,4,1,0,4,2,0,0,3,0,0,0,0,0,1,0,0,17,3,0,0,1,0,4,2,23,0,5,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S34,c,2,0,1,0,0,0,0,0,0,0,37,2,0,0,9,1,1,4,43,0,0,4,4,1,0,0,8,0,0,0,0,0,15,1,1,0,0,0,0,0,0,20,9,3,8,17,4,0,0,0,8,0,1,6,3,0,7,0,0,20,0,1,0,2,0,0,0,1,4,1,0,0,0,1,0,0,0,0,0,0,0,7,0,12,0,0,11,11,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,34,1,0,0,9,1,16,11,21,0,14,2,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
S39,c,2,0,1,0,1,0,2,1,0,4,16,0,0,0,10,1,1,3,17,0,1,5,5,0,0,0,12,0,1,1,0,1,10,0,0,0,0,0,0,0,0,11,3,0,7,5,0,1,0,0,5,0,1,1,0,0,1,0,1,14,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,11,0,2,0,0,2,2,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,19,1,0,0,1,0,14,8,15,0,10,1,0,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
S4,c,3,0,1,0,0,0,0,0,0,4,13,2,0,1,13,0,1,4,29,0,0,5,9,5,0,0,11,0,0,0,0,0,6,0,0,0,4,1,0,0,0,7,0,2,8,13,1,0,0,0,5,0,0,0,2,0,4,0,0,5,0,2,0,1,1,0,0,4,0,0,0,1,1,0,0,0,1,0,0,0,0,6,2,3,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,27,1,0,0,1,0,7,2,33,0,5,0,13,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S24,c,3,0,1,0,0,0,0,0,0,3,8,2,0,0,10,0,1,0,34,0,0,3,6,3,0,0,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,8,1,2,37,0,0,0,0,7,0,0,1,2,0,5,0,0,6,0,1,0,2,1,0,0,3,2,0,0,0,0,1,0,0,1,0,0,0,0,7,0,10,0,0,5,1,4,0,6,1,0,0,0,0,0,1,0,0,0,0,0,17,3,0,0,0,0,6,2,22,0,16,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S23,c,3,0,2,0,0,0,0,0,0,2,15,0,0,0,16,3,4,3,32,0,0,4,4,6,0,0,9,0,0,1,0,0,16,2,0,0,1,0,0,0,0,11,1,1,19,16,0,0,0,0,13,0,1,4,0,0,3,0,0,13,0,0,0,2,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5,0,0,3,5,1,0,5,0,2,2,1,0,0,0,0,0,0,1,0,28,3,0,0,1,2,20,3,22,0,24,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2,c,3,0,2,0,1,0,0,0,0,4,13,0,0,0,14,2,0,3,26,0,0,1,4,1,1,0,11,1,1,2,1,0,4,0,0,0,2,4,0,0,0,5,6,0,5,3,1,0,0,0,2,0,0,2,1,0,2,0,0,8,0,1,0,0,2,0,0,2,3,0,0,0,2,0,0,2,0,0,0,2,0,0,0,3,0,0,0,2,0,0,1,1,1,2,0,0,0,0,0,0,1,0,0,24,3,0,0,0,0,8,15,11,0,14,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S22,c,3,0,5,0,0,0,0,0,0,4,10,0,0,0,12,2,2,2,47,0,0,7,7,2,0,0,11,0,0,0,0,0,9,1,0,0,0,1,0,0,1,27,1,1,8,12,0,0,0,0,12,0,0,4,1,0,5,0,0,9,1,0,0,1,1,1,0,0,8,1,0,1,0,1,2,0,1,0,0,0,0,5,0,3,0,0,1,1,2,1,1,0,0,0,3,0,0,0,0,0,1,1,0,26,0,0,0,2,0,17,0,19,0,17,3,21,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S9,c,3,0,1,0,3,0,0,0,0,3,11,1,0,1,11,1,0,3,29,1,0,0,7,4,1,0,24,1,0,2,0,0,8,0,0,0,0,1,0,0,0,17,2,0,5,9,2,0,0,0,7,0,0,5,0,0,3,0,3,5,0,1,0,6,3,4,0,2,5,0,0,0,0,2,0,0,0,0,0,1,0,4,0,3,0,0,1,3,2,0,6,1,0,1,0,0,0,0,0,0,3,2,1,10,3,1,0,1,1,11,2,26,0,7,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S15,c,3,1,4,0,0,0,0,1,0,5,25,1,0,0,13,3,3,1,45,0,0,0,7,0,0,0,23,0,0,1,0,0,3,0,0,0,0,0,1,0,0,12,5,0,7,13,3,0,1,0,12,1,0,1,0,0,7,7,22,9,0,3,1,5,3,0,0,7,10,1,1,0,0,0,0,0,0,0,0,1,0,5,1,4,0,0,0,2,0,0,1,2,0,1,2,3,0,0,0,0,2,0,0,25,0,0,0,3,0,11,16,27,0,15,0,5,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S14,c,3,1,1,0,0,1,0,2,0,9,11,1,0,0,12,1,0,5,48,0,0,3,7,0,0,0,23,0,0,0,0,0,8,0,0,1,0,0,0,0,0,16,5,0,2,8,1,0,1,0,7,0,0,2,1,0,4,0,1,7,0,0,1,1,5,0,0,0,7,1,0,0,1,1,0,0,0,0,0,0,0,19,0,2,2,0,0,2,1,1,7,0,2,0,2,33,2,0,0,0,1,0,0,20,2,0,0,1,1,15,4,8,0,8,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S8,c,3,0,2,0,0,1,0,0,0,5,8,1,0,0,17,0,0,2,44,0,0,1,14,1,0,0,10,0,0,1,1,1,3,0,3,0,2,1,0,0,0,30,4,0,7,10,4,0,0,0,5,1,0,6,0,0,2,0,0,13,0,4,0,1,0,0,0,2,1,0,0,0,0,1,2,0,0,0,0,0,0,10,0,2,0,0,1,3,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,17,2,0,0,2,1,21,6,12,0,21,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S19,c,3,0,3,0,0,1,0,0,0,4,8,0,0,0,17,1,0,2,44,0,0,0,7,2,0,0,9,0,0,2,0,0,4,0,0,0,0,0,0,0,0,11,0,2,5,3,1,0,0,0,8,0,0,2,1,0,4,0,1,10,0,0,1,0,3,0,0,1,4,3,0,0,0,3,0,0,0,1,0,0,0,12,0,0,0,0,0,1,1,2,4,2,0,1,0,1,0,0,0,0,2,0,0,20,4,0,0,0,0,10,5,13,0,22,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S13,c,3,0,2,0,0,0,0,1,0,9,3,1,0,0,9,4,0,3,37,0,1,1,5,2,0,0,11,0,0,1,0,1,6,0,0,0,0,2,0,0,0,50,4,1,7,3,0,0,0,0,2,0,0,1,1,0,3,0,1,5,1,0,0,0,2,0,0,2,4,1,0,0,1,5,0,0,1,0,1,0,0,9,0,3,0,0,0,3,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,16,1,1,0,0,2,14,5,15,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S21,c,3,0,1,0,0,0,0,0,0,11,5,1,0,2,14,2,1,0,41,0,0,0,6,5,0,0,6,0,0,0,0,0,1,0,0,0,0,2,0,0,0,3,1,0,0,1,1,0,0,0,4,0,0,5,1,0,4,0,0,13,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,1,0,0,0,0,6,0,0,0,0,0,1,0,0,2,2,1,0,2,7,0,0,0,0,0,0,0,28,1,0,0,2,1,0,4,5,0,13,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S18,c,4,0,3,0,0,0,0,0,0,7,9,0,0,0,21,0,0,2,29,0,1,5,5,6,0,1,15,0,0,4,1,0,2,0,0,0,1,0,0,0,0,10,5,1,1,4,0,0,0,0,4,0,0,5,0,0,18,0,0,5,1,2,0,0,1,1,0,2,4,1,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,2,1,0,2,0,1,1,0,0,0,0,0,0,11,0,0,0,0,0,7,10,19,0,16,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
